63,470,2.942788e+01,frame000014_0.jpg,2.240000e+01,4.294000e+02,8.220000e+01,8.220000e+01,0,0
692,1.835000e+02,2.412986e+01,frame000017_0.jpg,6.584000e+02,1.504000e+02,6.820000e+01,6.820000e+01,0,0
6.725000e+02,4.545000e+02,3.493566e+01,frame000023_0.jpg,624,406,99,99,0,0
236,1.115000e+02,3.578058e+01,frame000023_0.jpg,1.856000e+02,6.160000e+01,1.018000e+02,1.018000e+02,0,0
5.795000e+02,190,3.338038e+01,frame000024_0.jpg,5.338000e+02,1.438000e+02,9.340000e+01,9.340000e+01,0,0
6.395000e+02,483,3.000417e+01,frame000024_0.jpg,598,441,85,85,0,0
660,3.415000e+02,2.522400e+01,frame000025_0.jpg,625,307,71,71,0,0
7.375000e+02,135,2.890069e+01,frame000028_0.jpg,6.974000e+02,9.440000e+01,8.220000e+01,8.220000e+01,0,0
6.945000e+02,153,2.818244e+01,frame000029_0.jpg,6.558000e+02,1.138000e+02,7.940000e+01,7.940000e+01,0,0
1.605000e+02,3.595000e+02,2.853945e+01,frame000031_0.jpg,1.204000e+02,3.194000e+02,8.220000e+01,8.220000e+01,0,0
5.765000e+02,560,2.976995e+01,frame000031_0.jpg,535,518,85,83,0,0
2.635000e+02,3.815000e+02,2.804461e+01,frame000034_0.jpg,2.248000e+02,3.428000e+02,7.940000e+01,7.940000e+01,0,0
563,321,2.416609e+01,frame000035_0.jpg,5.294000e+02,2.874000e+02,6.820000e+01,6.820000e+01,0,0
1.735000e+02,171,2.787920e+01,frame000036_0.jpg,1.348000e+02,1.318000e+02,7.940000e+01,7.940000e+01,0,0
410,3.725000e+02,2.773536e+01,frame000037_0.jpg,3.708000e+02,3.338000e+02,7.940000e+01,7.940000e+01,0,0
5.850000e+01,7.050000e+01,3.244226e+01,frame000037_0.jpg,1.420000e+01,2.620000e+01,9.060000e+01,9.060000e+01,0,0
688,1.625000e+02,2.375395e+01,frame000038_0.jpg,6.544000e+02,1.294000e+02,6.820000e+01,6.820000e+01,0,0
175,512,2.334524e+01,frame000039_0.jpg,1.428000e+02,4.798000e+02,6.540000e+01,6.540000e+01,0,0
